baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_id
6.62144664292413	-1.05121338362134	0.209921505880668	-5.0076497841956	5.50986707045691e-07	1.79041096000028e-06	NAT2|10
17.8013845152898	-2.66653951487041	0.218928614119458	-12.1799497319953	3.97526798552882e-34	3.28527504232632e-32	ABCA4|24
1326.65701196861	-1.96584954678476	0.360520177019232	-5.45281421705254	4.95788593806611e-08	1.85463405317273e-07	ABP1|26
74.8613050323458	-1.46627937553817	0.27382216582812	-5.3548600461314	8.56226644225859e-08	3.10836505449952e-07	ABO|28
1090.82121728426	-1.13316664489967	0.114207667011166	-9.92198400120438	3.34049044902082e-23	8.35930109946444e-22	ACACB|32
60942.0124719545	-1.29976637843971	0.160605488854603	-8.09291380829703	5.82540880021215e-16	5.74912020528714e-15	ACTA2|59
1831.76253777293	-2.58405466611411	0.312045601688747	-8.28101614677331	1.2212862677382e-16	1.31913671609789e-15	ACTC1|70
57822.9532425229	-1.66970981542172	0.19444094105994	-8.5872337704177	8.90882496876962e-18	1.09557112977519e-16	ACTG2|72
4.16877426439527	-1.28931883096998	0.201602677262744	-6.39534577851686	1.60184445769623e-10	8.12237139428387e-10	ACTN3|89
722.516387184018	-1.49851835347068	0.16704267364391	-8.97087145926023	2.94177599639175e-19	4.43725399333047e-18	ADCY5|111
3.15379958700688	-4.11090709511554	0.438278393407896	-9.37967090540466	6.61789630859578e-21	1.2480096116373e-19	ADCY8|114
4.45610930308378	-2.60668479059757	0.314158947791489	-8.29734377748061	1.06464962824669e-16	1.16272035191473e-15	ADCYAP1R1|117
224.372707939638	-1.75647837392165	0.216843144620246	-8.10022552014611	5.48573994409167e-16	5.43571883931179e-15	ADH1B|125
2.70617496626027	-1.91470019779696	0.411583226473565	-4.65203651325167	3.28672862779066e-06	9.64875602686784e-06	ADH4|127
0.684853763393523	-1.24142422493154	0.545719656391414	-2.27483875721188	0.0229156043054723	0.0373365656961841	ADH7|131
79.4682727569776	-1.16985548674758	0.169475560138218	-6.9027975821026	5.09882606771853e-12	3.10107637371539e-11	ADORA2B|136
132.094214374271	-1.58111932385117	0.242295414326367	-6.52558501054186	6.77366258417328e-11	3.61060079588358e-10	ADRA1D|146
15.3668446840691	-1.55719624811883	0.210630809903504	-7.39301267859255	1.43538783896025e-13	1.04954064700778e-12	ADRA1B|147
117.371852175263	-2.1280110696332	0.210992525695527	-10.0857177884303	6.38964548144505e-24	1.74310592197701e-22	ADRA1A|148
42.4752500976328	-1.45871770740543	0.163658516300317	-8.91317934673589	4.95896727410789e-19	7.27894979958419e-18	ADRA2B|151
6.47285947803787	-2.48118918877846	0.348518884625354	-7.11923886547973	1.08524689683198e-12	7.14620730290869e-12	ADRB3|155
150.103210668274	-9.24284892748734	0.623819311107196	-14.816548258313	1.1451984467723e-49	2.7138443674174e-47	CRISP1|167
64.3596588449526	-1.68324356750783	0.235814540718083	-7.1379973532682	9.47004546608297e-13	6.2821694526943e-12	ALDH3A1|218
23.8636176852406	-1.38688104724451	0.179514238614724	-7.72574397410923	1.11201935306073e-14	9.35113666325413e-14	ABCD2|225
2542.89824818327	-3.90433423458386	0.163867538713823	-23.8261602342266	1.78934838892982e-125	7.03893869237211e-122	AKR1B1|231
149.000223384606	-1.34718218614552	0.199641312351181	-6.74801307544873	1.49883443629823e-11	8.62509494662079e-11	ANXA8L2|244
1.0671831728569	-2.9039767194856	0.356845384455206	-8.1379130738067	4.02149396940412e-16	4.04597262834832e-15	AMELX|265
53.5540764720225	-1.28565412398745	0.160323505443976	-8.01912433505708	1.06501661110509e-15	1.01787228978747e-14	AMPH|273
712.205539923451	-2.09570310432765	0.171928632276675	-12.1893780958785	3.54113401175867e-34	2.97651986655048e-32	ANGPT1|284
485.729907783834	-1.48377255504272	0.160402785402666	-9.25029170358817	2.23880835533321e-20	3.92120405530266e-19	ANK2|287
6547.50325466638	-1.01270412292936	0.132954941790632	-7.61689719306633	2.5984612758267e-14	2.07003381264623e-13	ANXA1|301
11031.7210006305	-1.00699647863858	0.118352489375046	-8.50845203135118	1.76270796362499e-17	2.08232450069309e-16	ANXA2|302
3743.55132777294	-1.18156924541422	0.116495897112377	-10.142582483179	3.57520789744518e-24	1.00029536464935e-22	ANXA2P2|304
6125.87335689623	-1.16440774844004	0.116171987071722	-10.0231370555895	1.2061263820556e-23	3.20152494043881e-22	ANXA6|309
84.3378869405035	-5.88766113032383	0.339079311879525	-17.3636695724324	1.55461757118491e-67	8.26426297503674e-65	ANXA13|312
1329.90281900408	-2.46558244925221	0.187834804884773	-13.1263343381155	2.32648446501957e-39	3.03043860546158e-37	AOX1|316
30.2814102700447	-1.42093460210279	0.228340298947645	-6.22288141274874	4.88106318196766e-10	2.33419965295701e-09	APOB|338
4.25846918629057	-1.26720990567954	0.321317975889222	-3.94378777649349	8.02046416839133e-05	0.000191962168079933	AQP8|343
1205.16226923348	-9.34860662765929	0.58536051804412	-15.9706818951439	2.04537529308261e-57	7.4500901184522e-55	AQP2|359
7528.80049902594	-1.00872103462691	0.140975788263557	-7.15527855564166	8.35031847259707e-13	5.5769919876914e-12	AQP3|360
36.2302934057046	-2.3091535437918	0.253360612490166	-9.11409836397295	7.93273199202285e-20	1.28843026879519e-18	AQP5|362
38.9785893661238	-1.52487583687751	0.206747169573308	-7.37555846604623	1.63657558636722e-13	1.18913207270989e-12	AQP9|366
110.335862597192	-1.399063388508	0.266041793932869	-5.25881053433668	1.44990178955421e-07	5.08344354701279e-07	AREG|374
